period,temperature,hours before sunrise,hours before sunset,demand
157,15.1,0.1,11.51666667,1110
158,15.4,-0.4,11.01666667,1141
159,15.6,-0.9,10.51666667,1112
160,15.6,-1.4,10.01666667,1038
161,15.4,-1.9,9.51666667,999
162,15.6,-2.4,9.01666667,962
163,15.7,-2.9,8.51666667,970
164,13.8,-3.4,8.01666667,963
165,11.8,-3.9,7.51666667,959
166,12.6,-4.4,7.01666667,965
167,13.3,-4.9,6.51666667,1019
168,13.7,-5.4,6.01666667,1008
169,14.1,-5.9,5.51666667,957
170,14.6,-6.4,5.01666667,884
171,15.1,-6.9,4.51666667,855
172,15.5,-7.4,4.01666667,870
173,15.9,-7.9,3.51666667,842
174,16.2,-8.4,3.01666667,885
175,16.3,-8.9,2.51666667,1041
176,16.1,-9.4,2.01666667,1175
177,15.8,-9.9,1.51666667,1334
178,15.1,-10.4,1.01666667,1481
179,14.2,-10.9,0.51666667,1668
180,13.9,-11.4,0.01666667,1860
181,13.5,-11.9,-0.48333333,1949
182,13.2,-12.4,-0.98333333,1940
183,12.9,-12.9,-1.48333333,1828
184,12.8,-13.4,-1.98333333,1757
185,12.6,-13.9,-2.48333333,1682
186,12.5,-14.4,-2.98333333,1578
187,12.2,-14.9,-3.48333333,1464
188,11.1,-15.4,-3.98333333,1250
189,10,-15.9,-4.48333333,1040
190,8.8,-16.4,-4.98333333,837
191,7.7,-16.9,-5.48333333,667
192,7.3,-17.4,-5.98333333,550
193,6.8,6.133333333,17.48333333,485
194,6,5.633333333,16.98333333,528
195,5.2,5.133333333,16.48333333,508
196,5,4.633333333,15.98333333,504
197,4.9,4.133333333,15.48333333,482
198,4.7,3.633333333,14.98333333,450
199,4.5,3.133333333,14.48333333,453
200,4.5,2.633333333,13.98333333,463
201,4.4,2.133333333,13.48333333,505
202,4.4,1.633333333,12.98333333,580
203,4.3,1.133333333,12.48333333,688
204,4.4,0.633333333,11.98333333,914
205,4.5,0.133333333,11.48333333,1091
206,4.9,-0.366666667,10.98333333,1122
207,5.3,-0.866666667,10.48333333,1082
208,7.3,-1.366666667,9.98333333,983
209,9.5,-1.866666667,9.48333333,916
210,11.2,-2.366666667,8.98333333,889
211,13,-2.866666667,8.48333333,860
212,13.8,-3.366666667,7.98333333,850
213,14.6,-3.866666667,7.48333333,845
214,15,-4.366666667,6.98333333,881
215,15.3,-4.866666667,6.48333333,922
216,15.4,-5.366666667,5.98333333,895
217,15.3,-5.866666667,5.48333333,896
218,15.9,-6.366666667,4.98333333,820
219,16.4,-6.866666667,4.48333333,806
220,16,-7.366666667,3.98333333,791
221,15.6,-7.866666667,3.48333333,791
222,15.7,-8.366666667,2.98333333,861
223,15.7,-8.866666667,2.48333333,1019
224,15.4,-9.366666667,1.98333333,1126
225,15,-9.866666667,1.48333333,1317
226,14.6,-10.36666667,0.98333333,1458
227,14.2,-10.86666667,0.48333333,1635
228,13.5,-11.36666667,-0.01666667,1888
229,12.8,-11.86666667,-0.51666667,2038
230,12.6,-12.36666667,-1.01666667,1962
231,12.3,-12.86666667,-1.51666667,1903
232,11.9,-13.36666667,-2.01666667,1787
233,11.6,-13.86666667,-2.51666667,1702
234,11.4,-14.36666667,-3.01666667,1608
235,11,-14.86666667,-3.51666667,1493
236,10.6,-15.36666667,-4.01666667,1268
237,10.1,-15.86666667,-4.51666667,1045
238,9.8,-16.36666667,-5.01666667,838
239,9.6,-16.86666667,-5.51666667,675
240,9.2,-17.36666667,-6.01666667,563
241,8.8,6.15,17.45,488
242,8.7,5.65,16.95,530
243,8.6,5.15,16.45,514
244,9,4.65,15.95,505
245,9.3,4.15,15.45,490
246,9.2,3.65,14.95,467
247,9.1,3.15,14.45,448
248,8.6,2.65,13.95,477
249,8.1,2.15,13.45,516
250,8,1.65,12.95,581
251,7.9,1.15,12.45,703
252,7.6,0.65,11.95,928
253,7.2,0.15,11.45,1100
254,7.4,-0.35,10.95,1120
255,7.6,-0.85,10.45,1095
256,9,-1.35,9.95,973
257,10.5,-1.85,9.45,909
258,11.5,-2.35,8.95,860
259,12.5,-2.85,8.45,837
260,13.4,-3.35,7.95,839
261,14.3,-3.85,7.45,819
262,14.6,-4.35,6.95,871
263,14.9,-4.85,6.45,933
264,14.7,-5.35,5.95,894
265,14.5,-5.85,5.45,840
266,14.6,-6.35,4.95,828
267,14.7,-6.85,4.45,843
268,15.2,-7.35,3.95,817
269,15.5,-7.85,3.45,811
270,12.6,-8.35,2.95,896
271,9.7,-8.85,2.45,1020
272,10.7,-9.35,1.95,1176
273,11.6,-9.85,1.45,1363
274,11.6,-10.35,0.95,1471
275,11.6,-10.85,0.45,1658
276,10.7,-11.35,-0.05,1889
277,9.8,-11.85,-0.55,2011
278,9.3,-12.35,-1.05,1951
279,8.8,-12.85,-1.55,1902
280,9.4,-13.35,-2.05,1793
281,10,-13.85,-2.55,1730
282,10,-14.35,-3.05,1613
283,10,-14.85,-3.55,1490
284,9.8,-15.35,-4.05,1261
285,9.5,-15.85,-4.55,1055
286,8.8,-16.35,-5.05,851
287,8.2,-16.85,-5.55,661
288,8.1,-17.35,-6.05,564
289,7.9,6.183333333,17.4,491
290,7.6,5.683333333,16.9,539
291,7.3,5.183333333,16.4,521
292,7.3,4.683333333,15.9,501
293,7.3,4.183333333,15.4,495
294,7.1,3.683333333,14.9,453
295,6.9,3.183333333,14.4,447
296,6.5,2.683333333,13.9,467
297,6.1,2.183333333,13.4,512
298,6.4,1.683333333,12.9,568
299,6.6,1.183333333,12.4,703
300,6.1,0.683333333,11.9,939
301,5.5,0.183333333,11.4,1118
302,5.9,-0.316666667,10.9,1155
303,6.4,-0.816666667,10.4,1093
304,7.5,-1.316666667,9.9,949
305,8.7,-1.816666667,9.4,886
306,9.6,-2.316666667,8.9,838
307,10.6,-2.816666667,8.4,830
308,11.5,-3.316666667,7.9,800
309,12.3,-3.816666667,7.4,810
310,12.9,-4.316666667,6.9,871
311,13.6,-4.816666667,6.4,924
312,14,-5.316666667,5.9,866
313,14.3,-5.816666667,5.4,866
314,14.3,-6.316666667,4.9,814
315,14.2,-6.816666667,4.4,800
316,14.3,-7.316666667,3.9,792
317,14.4,-7.816666667,3.4,777
318,14.5,-8.316666667,2.9,870
319,14.5,-8.816666667,2.4,1019
320,14.2,-9.316666667,1.9,1167
321,13.8,-9.816666667,1.4,1301
322,13.6,-10.31666667,0.9,1461
323,13.3,-10.81666667,0.4,1635
324,11.1,-11.31666667,-0.1,1872
325,9.1,-11.81666667,-0.6,1982
326,8.6,-12.31666667,-1.1,1918
327,8.1,-12.81666667,-1.6,1875
328,7.9,-13.31666667,-2.1,1769
329,7.8,-13.81666667,-2.6,1655
330,6.8,-14.31666667,-3.1,1561
331,5.8,-14.81666667,-3.6,1472
332,5.3,-15.31666667,-4.1,1242
333,4.8,-15.81666667,-4.6,1058
334,4.6,-16.31666667,-5.1,871
335,4.4,-16.81666667,-5.6,701
336,4.3,-17.31666667,-6.1,578
337,4.2,6.216666667,17.36666667,495
338,4,5.716666667,16.86666667,537
339,3.8,5.216666667,16.36666667,528
340,3.4,4.716666667,15.86666667,507
341,3,4.216666667,15.36666667,500
342,2.7,3.716666667,14.86666667,468
343,2.4,3.216666667,14.36666667,458
344,2.2,2.716666667,13.86666667,464
345,2,2.216666667,13.36666667,502
346,1.9,1.716666667,12.86666667,571
347,1.8,1.216666667,12.36666667,713
348,1.6,0.716666667,11.86666667,952
349,1.3,0.216666667,11.36666667,1115
350,1.6,-0.283333333,10.86666667,1145
351,1.9,-0.783333333,10.36666667,1125
352,3.4,-1.283333333,9.86666667,999
353,5,-1.783333333,9.36666667,936
354,7,-2.283333333,8.86666667,906
355,9.1,-2.783333333,8.36666667,906
356,10.7,-3.283333333,7.86666667,899
357,12.4,-3.783333333,7.36666667,882
358,13.3,-4.283333333,6.86666667,904
359,14.3,-4.783333333,6.36666667,973
360,14.2,-5.283333333,5.86666667,925
361,13.9,-5.783333333,5.36666667,891
362,14,-6.283333333,4.86666667,836
363,14,-6.783333333,4.36666667,817
364,14.4,-7.283333333,3.86666667,832
365,14.7,-7.783333333,3.36666667,821
366,14.4,-8.283333333,2.86666667,866
367,14.1,-8.783333333,2.36666667,1027
368,14,-9.283333333,1.86666667,1171
369,13.8,-9.783333333,1.36666667,1295
370,13.1,-10.28333333,0.86666667,1484
371,12.4,-10.78333333,0.36666667,1732
372,11.9,-11.28333333,-0.13333333,1946
373,11.4,-11.78333333,-0.63333333,1937
374,11.3,-12.28333333,-1.13333333,1898
375,11.2,-12.78333333,-1.63333333,1790
376,10.5,-13.28333333,-2.13333333,1740
377,9.9,-13.78333333,-2.63333333,1620
378,9.5,-14.28333333,-3.13333333,1544
379,9,-14.78333333,-3.63333333,1442
380,8.7,-15.28333333,-4.13333333,1266
381,8.4,-15.78333333,-4.63333333,1099
382,8,-16.28333333,-5.13333333,943
383,7.7,-16.78333333,-5.63333333,749
384,7.8,-17.28333333,-6.13333333,644
385,7.7,6.233333333,17.33333333,554
386,7.5,5.733333333,16.83333333,575
387,7.4,5.233333333,16.33333333,552
388,7.4,4.733333333,15.83333333,529
389,7.3,4.233333333,15.33333333,512
390,7.2,3.733333333,14.83333333,480
391,7.1,3.233333333,14.33333333,465
392,6.9,2.733333333,13.83333333,461
393,6.7,2.233333333,13.33333333,481
394,6.8,1.733333333,12.83333333,516
395,6.8,1.233333333,12.33333333,596
396,7.6,0.733333333,11.83333333,710
397,8.5,0.233333333,11.33333333,800
398,8.7,-0.266666667,10.83333333,905
399,8.9,-0.766666667,10.33333333,1026
400,9.3,-1.266666667,9.83333333,1081
401,9.7,-1.766666667,9.33333333,1166
402,10.5,-2.266666667,8.83333333,1168
403,11.3,-2.766666667,8.33333333,1181
404,11.1,-3.266666667,7.83333333,1168
405,10.8,-3.766666667,7.33333333,1168
406,11.1,-4.266666667,6.83333333,1209
407,11.3,-4.766666667,6.33333333,1282
408,11.9,-5.266666667,5.83333333,1287
409,12.4,-5.766666667,5.33333333,1229
410,12.5,-6.266666667,4.83333333,1190
411,12.7,-6.766666667,4.33333333,1142
412,12.8,-7.266666667,3.83333333,1165
413,12.9,-7.766666667,3.33333333,1126
414,13.1,-8.266666667,2.83333333,1155
415,13.2,-8.766666667,2.33333333,1201
416,12.7,-9.266666667,1.83333333,1242
417,12.2,-9.766666667,1.33333333,1369
418,11.9,-10.26666667,0.83333333,1549
419,11.7,-10.76666667,0.33333333,1771
420,11.4,-11.26666667,-0.16666667,1963
421,11,-11.76666667,-0.66666667,1989
422,10.7,-12.26666667,-1.16666667,1904
423,10.4,-12.76666667,-1.66666667,1761
424,10.4,-13.26666667,-2.16666667,1706
425,10.3,-13.76666667,-2.66666667,1615
426,10.5,-14.26666667,-3.16666667,1532
427,10.6,-14.76666667,-3.66666667,1454
428,10.7,-15.26666667,-4.16666667,1312
429,10.7,-15.76666667,-4.66666667,1195
430,10.7,-16.26666667,-5.16666667,1023
431,10.7,-16.76666667,-5.66666667,863
432,10.9,-17.26666667,-6.16666667,736
433,10.6,6.266666667,17.3,596
434,10.7,5.766666667,16.8,640
435,10.8,5.266666667,16.3,598
436,10.7,4.766666667,15.8,581
437,10.6,4.266666667,15.3,522
438,10.6,3.766666667,14.8,491
439,10.5,3.266666667,14.3,490
440,10.5,2.766666667,13.8,473
441,10.5,2.266666667,13.3,489
442,10.2,1.766666667,12.8,501
443,9.9,1.266666667,12.3,537
444,10.1,0.766666667,11.8,678
445,10.3,0.266666667,11.3,772
446,10.6,-0.233333333,10.8,833
447,10.8,-0.733333333,10.3,983
448,11.1,-1.233333333,9.8,1074
449,11.4,-1.733333333,9.3,1317
450,11.7,-2.233333333,8.8,1311
451,11.9,-2.733333333,8.3,1378
452,12.3,-3.233333333,7.8,1387
453,12.7,-3.733333333,7.3,1406
454,13.5,-4.233333333,6.8,1422
455,14.3,-4.733333333,6.3,1491
456,14.4,-5.233333333,5.8,1485
457,14.5,-5.733333333,5.3,1389
458,14.7,-6.233333333,4.8,1334
459,14.8,-6.733333333,4.3,1280
460,14.8,-7.233333333,3.8,1319
461,15,-7.733333333,3.3,1283
462,14.7,-8.233333333,2.8,1353
463,14.3,-8.733333333,2.3,1420
464,13.8,-9.233333333,1.8,1496
465,13.1,-9.733333333,1.3,1574
466,12.5,-10.23333333,0.8,1762
467,11.8,-10.73333333,0.3,1934
468,11.4,-11.23333333,-0.2,2102
469,10.8,-11.73333333,-0.7,2150
470,10.5,-12.23333333,-1.2,2115
471,10.1,-12.73333333,-1.7,1947
472,10,-13.23333333,-2.2,1814
473,9.8,-13.73333333,-2.7,1757
474,9.8,-14.23333333,-3.2,1653
475,9.8,-14.73333333,-3.7,1537
476,10.1,-15.23333333,-4.2,1361
477,10.3,-15.73333333,-4.7,1135
478,10,-16.23333333,-5.2,902
479,9.6,-16.73333333,-5.7,690
480,9.8,-17.23333333,-6.2,594
481,9.3,6.3,17.26666667,511
482,8.9,5.8,16.76666667,546
483,8.4,5.3,16.26666667,538
484,8,4.8,15.76666667,530
485,7.6,4.3,15.26666667,512
486,7.6,3.8,14.76666667,471
487,6.8,3.3,14.26666667,469
488,6.8,2.8,13.76666667,467
489,6.4,2.3,13.26666667,508
490,6.1,1.8,12.76666667,568
491,5.8,1.3,12.26666667,723
492,6.3,0.8,11.76666667,971
493,6.7,0.3,11.26666667,1152
494,6.8,-0.2,10.76666667,1162
495,6.8,-0.7,10.26666667,1128
496,7.8,-1.2,9.76666667,1045
497,8.6,-1.7,9.26666667,995
498,9.4,-2.2,8.76666667,935
499,10.1,-2.7,8.26666667,925
500,10.9,-3.2,7.76666667,920
501,11.5,-3.7,7.26666667,927
502,11.9,-4.2,6.76666667,947
503,12.2,-4.7,6.26666667,994
504,11.9,-5.2,5.76666667,1000
505,11.8,-5.7,5.26666667,962
506,12.2,-6.2,4.76666667,905
507,12.6,-6.7,4.26666667,880
508,12.6,-7.2,3.76666667,905
509,13.2,-7.7,3.26666667,889
510,12.6,-8.2,2.76666667,943
511,11.8,-8.7,2.26666667,1117
512,11.6,-9.2,1.76666667,1280
513,11.3,-9.7,1.26666667,1481
514,11.2,-10.2,0.76666667,1669
515,11,-10.7,0.26666667,1890
516,10.4,-11.2,-0.23333333,2054
517,9.7,-11.7,-0.73333333,2051
518,9.6,-12.2,-1.23333333,2012
519,9.4,-12.7,-1.73333333,1897
520,9.6,-13.2,-2.23333333,1829
521,10,-13.7,-2.73333333,1738
522,10.2,-14.2,-3.23333333,1627
523,10.3,-14.7,-3.73333333,1501
524,10.4,-15.2,-4.23333333,1270
525,10.5,-15.7,-4.73333333,1055
526,10.5,-16.2,-5.23333333,863
527,10.4,-16.7,-5.73333333,680
528,10.6,-17.2,-6.23333333,573
529,10.1,6.316666667,17.21666667,502
530,10.1,5.816666667,16.71666667,543
531,10.1,5.316666667,16.21666667,537
532,10.1,4.816666667,15.71666667,527
533,10.2,4.316666667,15.21666667,503
534,10.2,3.816666667,14.71666667,465
535,10.3,3.316666667,14.21666667,466
536,10.3,2.816666667,13.71666667,476
537,9.5,2.316666667,13.21666667,523
538,9.7,1.816666667,12.71666667,601
539,9.9,1.316666667,12.21666667,723
540,9.7,0.816666667,11.71666667,946
541,9.5,0.316666667,11.21666667,1158
542,9.8,-0.183333333,10.71666667,1206
543,10,-0.683333333,10.21666667,1178
544,10.3,-1.183333333,9.71666667,1078
545,10.5,-1.683333333,9.21666667,1020
546,10.8,-2.183333333,8.71666667,995
547,11,-2.683333333,8.21666667,938
548,11.3,-3.183333333,7.71666667,957
549,11.6,-3.683333333,7.21666667,963
550,12,-4.183333333,6.71666667,1003
551,12.4,-4.683333333,6.21666667,1044
552,12.9,-5.183333333,5.71666667,1023
553,13.3,-5.683333333,5.21666667,1026
554,13.6,-6.183333333,4.71666667,942
555,13.7,-6.683333333,4.21666667,918
556,13.7,-7.183333333,3.71666667,920
557,13.1,-7.683333333,3.21666667,925
558,13.1,-8.183333333,2.71666667,1008
559,13.1,-8.683333333,2.21666667,1188
560,13.1,-9.183333333,1.71666667,1333
561,13.1,-9.683333333,1.21666667,1591
562,12.8,-10.18333333,0.71666667,1793
563,12.5,-10.68333333,0.21666667,2006
564,12.3,-11.18333333,-0.28333333,2129
565,12.1,-11.68333333,-0.78333333,2137
566,12.1,-12.18333333,-1.28333333,2023
567,12.2,-12.68333333,-1.78333333,1942
568,12.1,-13.18333333,-2.28333333,1831
569,12,-13.68333333,-2.78333333,1749
570,11.9,-14.18333333,-3.28333333,1646
571,11.8,-14.68333333,-3.78333333,1529
572,11.6,-15.18333333,-4.28333333,1298
573,11.3,-15.68333333,-4.78333333,1070
574,11.2,-16.18333333,-5.28333333,860
575,11.1,-16.68333333,-5.78333333,688
576,11.1,-17.18333333,-6.28333333,585
577,10.8,6.35,17.18333333,507
578,10.8,5.85,16.68333333,545
579,10.7,5.35,16.18333333,542
580,10.7,4.85,15.68333333,524
581,10.3,4.35,15.18333333,505
582,10.3,3.85,14.68333333,479
583,10.6,3.35,14.18333333,457
584,10.6,2.85,13.68333333,482
585,10.4,2.35,13.18333333,524
586,10.4,1.85,12.68333333,598
587,9.7,1.35,12.18333333,727
588,9.9,0.85,11.68333333,947
589,10,0.35,11.18333333,1154
590,10.2,-0.15,10.68333333,1183
591,10.4,-0.65,10.18333333,1173
592,10.8,-1.15,9.68333333,1039
593,11.1,-1.65,9.18333333,974
594,12.2,-2.15,8.68333333,919
595,13.2,-2.65,8.18333333,877
596,13.6,-3.15,7.68333333,883
597,14,-3.65,7.18333333,869
598,14.3,-4.15,6.68333333,931
599,14.5,-4.65,6.18333333,979
600,14.4,-5.15,5.68333333,949
601,14.2,-5.65,5.18333333,897
602,13.6,-6.15,4.68333333,896
603,13,-6.65,4.18333333,920
604,13,-7.15,3.68333333,910
605,12.7,-7.65,3.18333333,909
606,12.1,-8.15,2.68333333,1010
607,11.3,-8.65,2.18333333,1143
608,11.3,-9.15,1.68333333,1322
609,11.3,-9.65,1.18333333,1540
610,11.3,-10.15,0.68333333,1687
611,11.3,-10.65,0.18333333,1909
612,10.9,-11.15,-0.31666667,2038
613,10.5,-11.65,-0.81666667,2050
614,10.3,-12.15,-1.31666667,1971
615,10,-12.65,-1.81666667,1921
616,9.8,-13.15,-2.31666667,1807
617,9.5,-13.65,-2.81666667,1754
618,9.3,-14.15,-3.31666667,1631
619,9.1,-14.65,-3.81666667,1502
620,9,-15.15,-4.31666667,1276
621,8.8,-15.65,-4.81666667,1072
622,8.8,-16.15,-5.31666667,865
623,9.6,-16.65,-5.81666667,666
624,9.6,-17.15,-6.31666667,577
625,9.5,6.383333333,17.15,498
626,9.1,5.883333333,16.65,544
627,8.4,5.383333333,16.15,540
628,8.4,4.883333333,15.65,515
629,8.9,4.383333333,15.15,501
630,8.9,3.883333333,14.65,456
631,9.1,3.383333333,14.15,447
632,9.1,2.883333333,13.65,463
633,9.7,2.383333333,13.15,514
634,9.7,1.883333333,12.65,579
635,9.7,1.383333333,12.15,718
636,9.9,0.883333333,11.65,950
637,9.9,0.383333333,11.15,1175
638,9.8,-0.116666667,10.65,1229
639,9.8,-0.616666667,10.15,1188
640,9.5,-1.116666667,9.65,1035
641,9.2,-1.616666667,9.15,971
642,9.2,-2.116666667,8.65,919
643,9.1,-2.616666667,8.15,902
644,9.5,-3.116666667,7.65,887
645,9.9,-3.616666667,7.15,907
646,10.9,-4.116666667,6.65,975
647,11.8,-4.616666667,6.15,1013
648,11.1,-5.116666667,5.65,951
649,10.7,-5.616666667,5.15,943
650,12.3,-6.116666667,4.65,888
651,13.1,-6.616666667,4.15,867
652,13.1,-7.116666667,3.65,862
653,12.5,-7.616666667,3.15,848
654,12.4,-8.116666667,2.65,939
655,12.3,-8.616666667,2.15,1081
656,12.3,-9.116666667,1.65,1228
657,12.3,-9.616666667,1.15,1403
658,11.2,-10.11666667,0.65,1633
659,10,-10.61666667,0.15,1885
660,9.2,-11.11666667,-0.35,2028
661,8.3,-11.61666667,-0.85,2049
662,8.2,-12.11666667,-1.35,1958
663,8.1,-12.61666667,-1.85,1914
664,8.2,-13.11666667,-2.35,1798
665,8.5,-13.61666667,-2.85,1693
666,8.5,-14.11666667,-3.35,1588
667,8.4,-14.61666667,-3.85,1494
668,8.3,-15.11666667,-4.35,1273
669,8.1,-15.61666667,-4.85,1081
670,8.1,-16.11666667,-5.35,885
671,8,-16.61666667,-5.85,705
672,8,-17.11666667,-6.35,586
673,8,6.4,17.11666667,496
674,7.8,5.9,16.61666667,542
675,7.5,5.4,16.11666667,542
676,7.5,4.9,15.61666667,510
677,7.1,4.4,15.11666667,501
678,7.1,3.9,14.61666667,456
679,6.9,3.4,14.11666667,442
680,6.9,2.9,13.61666667,452
681,6.7,2.4,13.11666667,496
682,6.1,1.9,12.61666667,562
683,5.5,1.4,12.11666667,716
684,5.6,0.9,11.61666667,944
685,5.6,0.4,11.11666667,1147
686,5.7,-0.1,10.61666667,1197
687,5.7,-0.6,10.11666667,1187
688,6.2,-1.1,9.61666667,1048
689,6.7,-1.6,9.11666667,991
690,7.2,-2.1,8.61666667,974
691,7.6,-2.6,8.11666667,954
692,7.9,-3.1,7.61666667,964
693,8.1,-3.6,7.11666667,956
694,8.5,-4.1,6.61666667,978
695,8.8,-4.6,6.11666667,1050
696,9.4,-5.1,5.61666667,1009
697,9.7,-5.6,5.11666667,972
698,10.1,-6.1,4.61666667,923
699,10.1,-6.6,4.11666667,894
700,10.6,-7.1,3.61666667,932
701,11,-7.6,3.11666667,927
702,9.9,-8.1,2.61666667,980
703,8.8,-8.6,2.11666667,1139
704,8.9,-9.1,1.61666667,1300
